algorithm,grid_rows,grid_cols,n_zones,n_candidate_edges,density,n_active_edges,seed,K,wall_s,mean_rel,p95_rel,max_rel,max_abs
bellman_ford,5,5,25,116,0.0,0,0,1,8.91250092536211e-05,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.0,0,0,2,0.00018787500448524952,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.0,0,0,4,7.979100337252021e-05,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.0,0,0,8,0.0001497500343248248,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.0,0,0,16,0.00029562501003965735,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.0,0,0,24,0.0010043339570984244,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.0,0,0,32,0.0014136670506559312,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.0,0,0,1,4.916702164337039e-05,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.0,0,0,2,9.295804193243384e-05,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.0,0,0,3,0.0001331669627688825,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.0,0,0,4,0.00015199999324977398,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.0,0,0,5,0.0001895420136861503,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.0,0,0,6,0.00022854103008285165,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.0,0,0,7,0.0002643750049173832,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.0,0,1,1,4.299997817724943e-05,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.0,0,1,2,7.9666031524539e-05,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.0,0,1,4,0.00015358300879597664,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.0,0,1,8,0.00030295795295387506,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.0,0,1,16,0.0006062909960746765,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.0,0,1,24,0.0009072500397451222,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.0,0,1,32,0.0012037919950671494,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.0,0,1,1,3.94159578718245e-05,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.0,0,1,2,7.799995364621282e-05,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.0,0,1,3,0.00011487497249618173,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.0,0,1,4,0.0001519590150564909,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.0,0,1,5,0.0001895000459626317,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.0,0,1,6,0.00022720795823261142,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.0,0,1,7,0.0002666250220499933,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.0,0,2,1,2.154201501980424e-05,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.0,0,2,2,4.0207989513874054e-05,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.0,0,2,4,7.733399979770184e-05,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.0,0,2,8,0.00021145801292732358,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.0,0,2,16,0.0005255000432953238,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.0,0,2,24,0.0007786250207573175,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.0,0,2,32,0.001039957976900041,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.0,0,2,1,3.408401971682906e-05,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.0,0,2,2,6.729195592924953e-05,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.0,0,2,3,9.929202497005463e-05,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.0,0,2,4,0.00013229198521003127,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.0,0,2,5,0.00016437500016763806,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.0,0,2,6,0.00019979203352704644,0.0,0.0,0.0,0.0
matrix_squaring,5,5,25,116,0.0,0,2,7,0.00022879202151671052,0.0,0.0,0.0,0.0
bellman_ford,5,5,25,116,0.25,29,0,1,3.649998689070344e-05,0.4684507873488304,1.9590846196067302,2.7615646345268376,974.5862205862609
bellman_ford,5,5,25,116,0.25,29,0,2,6.849999772384763e-05,0.15062561212378267,0.6808874506533414,1.885714285714286,589.2857142857143
bellman_ford,5,5,25,116,0.25,29,0,4,0.00013316597323864698,0.014353268313592403,0.1531787161522953,0.32117912878236454,177.8220236823687
bellman_ford,5,5,25,116,0.25,29,0,8,0.000263167021330446,7.765018688075247e-18,5.63888185336491e-18,2.006718943557211e-16,1.1368683772161603e-13
bellman_ford,5,5,25,116,0.25,29,0,16,0.0005232499679550529,7.765018688075247e-18,5.63888185336491e-18,2.006718943557211e-16,1.1368683772161603e-13
bellman_ford,5,5,25,116,0.25,29,0,24,0.0007881249766796827,7.765018688075247e-18,5.63888185336491e-18,2.006718943557211e-16,1.1368683772161603e-13
