driver,grid_shape,n_zones,batch_size,median_call_s,rollouts_per_sec,env_steps_per_sec
sim_only,10x10,100,1,0.001950081000000381,512.7992119300709,7691.988178951064
policy_infer,10x10,100,1,0.0021912369999999015,456.3632322747585,6845.448484121378
train_step,10x10,100,1,0.0026727970000006707,374.13989913927213,5612.098487089082
sim_only,10x10,100,16,0.004769590999998741,3354.5853302734395,50318.77995410159
policy_infer,10x10,100,16,0.004959745000000737,3225.9723030110667,48389.584545166
train_step,10x10,100,16,0.006139270000002028,2606.173046631719,39092.59569947579
sim_only,10x10,100,64,0.012082155999998179,5297.067841203974,79456.01761805962
policy_infer,10x10,100,64,0.012435315000001168,5146.632795389099,77199.49193083648
train_step,10x10,100,64,0.014039326999998991,4558.623073599226,68379.34610398838
sim_only,10x10,100,256,0.04592955500000073,5573.753109517302,83606.29664275952
policy_infer,10x10,100,256,0.037972795999998255,6741.668430210189,101125.02645315284
train_step,10x10,100,256,0.03969335200000046,6449.4427177628395,96741.6407664426
sim_only,10x10,100,1024,0.16067218699999586,6373.225006267117,95598.37509400675
policy_infer,10x10,100,1024,0.1617601829999984,6330.358812712336,94955.38219068504
train_step,10x10,100,1024,0.16330174200000158,6270.600591633554,94059.00887450331
